EventName,StateName,CountyName,Hazard,StartDate,EndDate,Month,Quarter,Year,Duration_Days,Location,County_FIPS,Remarks,Fatalities,FatalitiesPerCapita,Fatalities_Duration,Injuries,InjuriesPerCapita,Injuries_Duration,PropertyDmg,PropertyDmg(ADJ),PropertyDmgPerCapita,PropertyDmgDuration
Hurricane 2022 Ian,FLORIDA,Osceola, Flooding,9/28/22,9/30/22,9,3,2022,3,,12097,NCDC_Flood,1,0,3,0,0,0,245000000,260704860,616.99,3
Hurricane 2016 Matthew,FLORIDA,Palm Beach, Coastal,10/6/16,10/7/16,10,4,2016,2,,12099,NCDC_High Surf,0,0,0,0,0,0,21000000,25871338.62,17.83,2
Hurricane 2016 Matthew,FLORIDA,Palm Beach, Hurricane/Tropical Storm,10/6/16,10/7/16,10,4,2016,2,,12099,NCDC_Tropical Storm,0,0,0,0,0,0,1330000,1638518.11,1.13,2
Hurricane 2017 Irma,FLORIDA,Palm Beach, Hurricane/Tropical Storm,9/9/17,9/11/17,9,3,2017,3,,12099,NCDC_Tropical Storm,0,0,0,0,0,0,300000000,362093380.8,246.27,3
Hurricane 2022 Ian,FLORIDA,Palm Beach, Tornado,9/27/22,9/27/22,9,3,2022,1,,12099,NCDC_Tornado,0,0,0,0,0,0,200000,212820.29,0.14,1
Hurricane 2022 Ian,FLORIDA,Palm Beach, Tornado,9/27/22,9/27/22,9,3,2022,1,,12099,NCDC_Tornado,0,0,0,0,0,0,50000,53205.07,0.04,1
Hurricane 2022 Ian,FLORIDA,Palm Beach, Tornado,9/27/22,9/27/22,9,3,2022,1,,12099,NCDC_Tornado,0,0,0,2,0,1,0,0,0,0
Hurricane 2022 Ian,FLORIDA,Palm Beach, Tornado,9/28/22,9/28/22,9,3,2022,1,,12099,NCDC_Tornado,0,0,0,0,0,0,2000,2128.2,0,1
Hurricane 2016 Matthew,FLORIDA,Pasco, Hurricane/Tropical Storm,10/7/16,10/7/16,10,4,2016,1,,12101,NCDC_Tropical Storm,0,0,0,0,0,0,5000,6159.84,0.01,1
Hurricane 2016 Matthew,FLORIDA,Pasco, Hurricane/Tropical Storm,10/7/16,10/7/16,10,4,2016,1,FLZ249,12101,Tropical Storm,0,0,0,0,0,0,10000,12319.69,0.02,1
